1848,Gtpbp10
1850,Rab35
1852,Acss3
1854,Ptpn4
1856,Ccdc51
1858,Acot9
1860,Gapdh
1862,Ttc7b
1864,Ndufaf3
1866,Flad1
1868,Cisd2
1870,Acaca
1872,Kmo
1874,Cyb5r1
1876,Hk1
1878,Mterfd1
1880,Oxr1
1882,Ndor1
1884,Nudt9
1886,Tmbim4
1888,Tpi1
1890,Atxn2
1892,Thnsl1
1894,Pycr2
1896,Hint1
1898,Obscn
1900,Cyb5
1902,Slc25a34
1904,Slc25a41
1906,Slc25a43
1908,Slc25a48
1910,Slc25a54
1912,Slc25a28
1914,Ucp2
1916,Slc25a37
1918,Slc25a47
1920,Ybey
1922,Ogg1
1924,Gm4952
1926,Fabp1
1928,Mettl15
1930,Acox1
1932,Pklr
1934,Metap1d
1936,Prosc
1938,Mul1
1940,Pink1
1942,Nudt6
1944,Atp5sl
1946,Micu1
1948,Nt5dc3
1950,Nipsnap3a
1952,Top3a
1954,Amacr
1956,Car5a
1958,Nthl1
1960,Synj2bp
1962,Arl2
1964,Krt5
1966,Mettl8
1968,Mterf1b
1970,Rsad1
1972,Ociad1
1974,Fastk
1976,Nme6
1978,Bnip3
1980,Fkbp8
1982,Pnpt1
1984,Tfb2m
1986,Pde12
1988,Mrps18b
1990,Fam213a
1992,Bak1
1994,Gdap1
1996,Mrpl48
1998,Mgst3
2000,Maob
2002,Dhodh
2004,ND1
2006,Dcxr
2008,Pmaip1
2010,Nipsnap3b
2012,Cyp11a1
2014,Aifm2
2016,March5
2018,Prdx2
2020,Sfxn4
2022,Ifi27
2024,Ddx28
2026,Abca9
2028,2300009A05Rik
2030,Agpat5
2032,Fbxl4
2034,Ftmt
2036,Gpam
2038,Mmachc
2040,Qtrt1
2042,Isoc2a
2044,Rps15a
2046,Cyp11b2
2048,Cyp11b1
2050,Pet117
2052,Rpl10a
2054,Snd1
2056,Maoa
2058,Cyb5r3
2060,Mff
2062,Nlrx1
2064,Fam185a
2066,Mief1
2068,Coa7
2070,Kif1b
2072,Rps14
2074,Pusl1
2076,Usmg5
2078,Rmdn3
2080,Atp5s
2082,Tomm20
2084,Bnip3l
2086,Aifm3
2088,Sirt4
2090,Ppm1k
2092,Rars
